               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037423,           0.0057982,            0.050681,             0.86039,             0.13336,             0.13748,            0.091183,            0.032288,           0.0047555,            0.050154,            0.008845,            0.008845,            0.008845
                  37,            0.037217,           0.0059293,            0.049471,             0.85084,             0.13571,              0.1457,            0.097786,            0.030112,           0.0046417,            0.049301,            0.008812,            0.008812,            0.008812
                  38,            0.037102,           0.0057293,            0.048507,             0.87191,              0.1382,             0.14769,            0.099387,            0.031993,           0.0046181,            0.049125,            0.008779,            0.008779,            0.008779
                  39,            0.036883,           0.0058501,            0.048787,             0.87489,             0.13849,             0.15112,             0.10197,            0.031308,           0.0046864,            0.048486,            0.008746,            0.008746,            0.008746
                  40,            0.036909,           0.0058432,            0.047751,             0.88553,             0.13545,             0.15167,             0.10159,            0.031479,           0.0046316,            0.048319,            0.008713,            0.008713,            0.008713
                  41,             0.03684,           0.0058384,            0.047592,             0.87888,             0.14348,              0.1567,             0.10744,            0.030093,           0.0045918,             0.04739,             0.00868,             0.00868,             0.00868
                  42,            0.036805,           0.0057272,            0.046489,             0.85568,             0.14541,             0.15718,             0.10784,            0.030345,            0.004575,            0.047129,            0.008647,            0.008647,            0.008647
                  43,             0.03733,           0.0057275,            0.046382,             0.88317,             0.14186,             0.15899,             0.10966,            0.031866,           0.0045876,            0.047203,            0.008614,            0.008614,            0.008614
                  44,            0.036612,           0.0057683,            0.047635,             0.86662,             0.14553,             0.16007,             0.10962,            0.030033,           0.0046933,            0.047383,            0.008581,            0.008581,            0.008581
                  45,            0.037095,           0.0058859,             0.04729,             0.86657,               0.148,             0.15902,             0.10829,            0.030861,           0.0045164,            0.046622,            0.008548,            0.008548,            0.008548
                  46,             0.03676,           0.0057373,            0.046039,             0.86885,              0.1479,             0.16343,             0.11223,            0.029761,           0.0045736,            0.046636,            0.008515,            0.008515,            0.008515
                  47,            0.037301,           0.0058929,            0.046167,             0.84825,             0.15962,             0.16837,             0.11574,            0.031039,           0.0045222,            0.045627,            0.008482,            0.008482,            0.008482
                  48,            0.035974,            0.005784,            0.045205,             0.84621,             0.16235,             0.17282,             0.12014,            0.029902,           0.0045324,            0.045167,            0.008449,            0.008449,            0.008449
                  49,            0.036888,           0.0057325,            0.044213,             0.86382,             0.15645,             0.17588,             0.12212,            0.029973,           0.0045354,            0.045047,            0.008416,            0.008416,            0.008416
                  50,            0.036826,           0.0056857,            0.044925,              0.8803,             0.15251,             0.17611,             0.12341,            0.029748,           0.0045062,            0.044437,            0.008383,            0.008383,            0.008383
