               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.031665,           0.0094376,            0.010828,             0.84552,             0.81209,             0.88277,             0.59511,            0.025813,           0.0055035,           0.0085182,           0.0082675,           0.0082675,           0.0082675
                  37,            0.031632,           0.0094694,            0.010573,             0.90148,             0.78714,             0.88235,             0.60849,            0.025667,           0.0054644,           0.0082268,            0.008218,            0.008218,            0.008218
                  38,            0.031429,           0.0094027,            0.010745,             0.90802,              0.8076,             0.88386,             0.61048,            0.025665,           0.0054601,           0.0082303,           0.0081685,           0.0081685,           0.0081685
                  39,            0.031532,           0.0093348,            0.010397,             0.88422,             0.80042,             0.87349,             0.59619,            0.025544,            0.005475,           0.0076495,            0.008119,            0.008119,            0.008119
                  40,             0.03135,           0.0094662,            0.010246,             0.86683,             0.82043,             0.88247,             0.61192,            0.025428,           0.0054281,           0.0074645,           0.0080695,           0.0080695,           0.0080695
                  41,            0.031451,           0.0092327,            0.010071,             0.87616,             0.82308,              0.8815,              0.6029,            0.025597,           0.0054449,           0.0078903,             0.00802,             0.00802,             0.00802
                  42,            0.031293,           0.0094021,            0.010197,             0.90889,             0.80207,             0.88183,             0.61277,            0.025283,           0.0054222,           0.0075196,           0.0079705,           0.0079705,           0.0079705
                  43,            0.031023,           0.0092568,            0.010074,             0.88575,              0.8392,             0.89177,             0.61695,             0.02512,           0.0053988,           0.0070158,            0.007921,            0.007921,            0.007921
                  44,            0.031058,           0.0092353,            0.010012,             0.89729,             0.83813,             0.89113,             0.61741,            0.025188,           0.0054094,           0.0072216,           0.0078715,           0.0078715,           0.0078715
                  45,            0.031325,           0.0093429,           0.0099723,              0.8971,             0.83723,              0.8913,             0.62378,            0.025052,            0.005437,           0.0072434,            0.007822,            0.007822,            0.007822
                  46,            0.030802,           0.0092729,           0.0099461,             0.90754,             0.82948,             0.89432,             0.62044,            0.024974,           0.0053742,           0.0068494,           0.0077725,           0.0077725,           0.0077725
                  47,            0.030986,           0.0092073,           0.0093959,             0.87485,             0.85198,             0.89673,             0.62133,            0.025092,           0.0053373,           0.0066248,            0.007723,            0.007723,            0.007723
                  48,            0.030807,           0.0093778,           0.0095083,             0.86919,             0.84632,             0.89561,             0.62972,            0.024526,           0.0053305,           0.0065873,           0.0076735,           0.0076735,           0.0076735
                  49,            0.030675,           0.0092275,           0.0097196,             0.89658,             0.84588,             0.89167,             0.62627,            0.024797,           0.0053369,           0.0067777,            0.007624,            0.007624,            0.007624
                  50,            0.030795,           0.0093096,           0.0094786,             0.90426,             0.84247,             0.88854,             0.62862,            0.024585,           0.0053057,           0.0066713,           0.0075745,           0.0075745,           0.0075745
                  51,            0.030721,            0.009261,           0.0092087,             0.92524,             0.82762,             0.89317,             0.62914,            0.024629,           0.0053412,           0.0065392,            0.007525,            0.007525,            0.007525
                  52,            0.030508,           0.0092648,           0.0093937,             0.94223,             0.82417,             0.89655,             0.62639,            0.024561,           0.0052922,           0.0066314,           0.0074755,           0.0074755,           0.0074755
                  53,            0.030391,           0.0091408,           0.0090305,             0.90626,             0.84412,             0.89404,             0.63401,            0.024189,            0.005297,            0.006532,            0.007426,            0.007426,            0.007426
                  54,            0.030484,           0.0090308,           0.0086587,             0.91747,             0.84069,             0.89223,             0.63325,            0.024174,           0.0052577,           0.0063181,           0.0073765,           0.0073765,           0.0073765
                  55,            0.030323,           0.0090797,           0.0089237,             0.92773,             0.84613,              0.8981,             0.63628,            0.024245,           0.0052488,           0.0064115,            0.007327,            0.007327,            0.007327
                  56,            0.030398,           0.0092443,           0.0090796,             0.91394,             0.84089,             0.89647,             0.62837,            0.024365,           0.0052817,           0.0064575,           0.0072775,           0.0072775,           0.0072775
                  57,            0.030235,           0.0090243,           0.0088419,             0.91271,             0.83515,             0.89768,              0.6415,            0.024252,           0.0052394,           0.0060805,            0.007228,            0.007228,            0.007228
                  58,            0.030449,           0.0091145,           0.0089441,             0.92352,             0.84979,             0.89793,             0.63841,            0.024124,           0.0052518,           0.0060688,           0.0071785,           0.0071785,           0.0071785
                  59,            0.030241,           0.0090466,           0.0085179,             0.92465,             0.84509,             0.89802,             0.64212,            0.023962,           0.0052209,            0.006174,            0.007129,            0.007129,            0.007129
                  60,            0.030283,           0.0090999,           0.0085971,             0.91538,             0.83978,             0.89377,             0.63376,            0.023927,           0.0052213,           0.0063064,           0.0070795,           0.0070795,           0.0070795
                  61,            0.029945,           0.0089931,           0.0081573,             0.90756,             0.86199,             0.89838,             0.63981,            0.023964,           0.0052188,           0.0062758,             0.00703,             0.00703,             0.00703
                  62,            0.030113,           0.0090346,            0.008435,             0.93984,             0.84072,             0.89926,             0.64453,            0.023909,           0.0051743,           0.0061025,           0.0069805,           0.0069805,           0.0069805
                  63,            0.029882,           0.0089377,           0.0084183,              0.9285,             0.85178,             0.90032,             0.64154,            0.023985,           0.0051784,           0.0060897,            0.006931,            0.006931,            0.006931
                  64,            0.029516,            0.008911,           0.0084168,             0.92767,             0.85469,             0.90003,             0.64096,            0.023834,           0.0051597,           0.0062343,           0.0068815,           0.0068815,           0.0068815
                  65,             0.02977,           0.0089333,           0.0083562,             0.92888,              0.8521,             0.89916,             0.64541,            0.023802,           0.0051525,           0.0061376,            0.006832,            0.006832,            0.006832
                  66,             0.02995,           0.0090081,           0.0083117,             0.93129,             0.85285,             0.89801,             0.65123,            0.023654,           0.0051529,           0.0061095,           0.0067825,           0.0067825,           0.0067825
                  67,            0.029467,           0.0089286,           0.0080788,              0.9443,              0.8472,             0.90212,             0.65118,            0.023628,           0.0051326,           0.0061041,            0.006733,            0.006733,            0.006733
                  68,            0.029606,           0.0089957,           0.0078648,             0.93116,             0.85321,             0.90115,             0.64665,            0.023556,           0.0051293,           0.0058877,           0.0066835,           0.0066835,           0.0066835
