               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.025961,           0.0070212,           0.0049498,             0.96169,             0.91087,             0.94033,             0.70399,            0.020842,           0.0043551,           0.0037582,            0.008317,            0.008317,            0.008317
                  36,            0.026077,           0.0071349,           0.0050654,             0.95446,             0.91688,             0.94238,             0.70514,            0.020924,           0.0043389,           0.0031837,           0.0082675,           0.0082675,           0.0082675
                  37,            0.025954,           0.0071328,           0.0049648,             0.96211,             0.91668,             0.94287,             0.70751,            0.020233,           0.0043134,           0.0031662,            0.008218,            0.008218,            0.008218
                  38,            0.025555,           0.0069492,           0.0048169,             0.96123,             0.91356,             0.94246,              0.7129,            0.020334,           0.0042674,           0.0030229,           0.0081685,           0.0081685,           0.0081685
                  39,            0.025518,            0.006956,            0.004796,               0.956,              0.9168,             0.93403,             0.69575,            0.020293,           0.0043002,           0.0030749,            0.008119,            0.008119,            0.008119
                  40,            0.025389,           0.0070523,           0.0049496,             0.95723,             0.91095,             0.94725,             0.71989,            0.019954,           0.0042609,           0.0028965,           0.0080695,           0.0080695,           0.0080695
                  41,            0.025533,           0.0069678,           0.0048719,             0.96847,             0.90894,             0.93707,             0.70317,            0.020146,           0.0042629,           0.0025424,             0.00802,             0.00802,             0.00802
                  42,            0.025284,           0.0069971,           0.0044256,             0.96715,             0.91006,             0.93885,             0.70587,            0.019848,           0.0041626,           0.0026124,           0.0079705,           0.0079705,           0.0079705
                  43,            0.024873,           0.0068257,            0.004636,              0.9665,             0.91108,             0.93527,              0.7048,            0.019784,           0.0042289,           0.0032541,            0.007921,            0.007921,            0.007921
                  44,            0.024845,            0.006843,           0.0044802,              0.9634,             0.91478,             0.94277,             0.71148,            0.019499,           0.0042307,           0.0024615,           0.0078715,           0.0078715,           0.0078715
                  45,            0.025119,            0.006842,           0.0043847,             0.96233,             0.91075,             0.94338,             0.72468,            0.019316,           0.0042025,            0.002841,            0.007822,            0.007822,            0.007822
                  46,            0.024659,           0.0068284,           0.0042597,             0.97055,             0.91271,             0.94622,             0.72399,            0.019194,           0.0041567,           0.0026106,           0.0077725,           0.0077725,           0.0077725
                  47,            0.024622,           0.0067928,           0.0043342,             0.96259,             0.91594,             0.94322,             0.71686,            0.019169,           0.0041347,           0.0024109,            0.007723,            0.007723,            0.007723
                  48,            0.024498,           0.0068676,           0.0041443,             0.96001,             0.91657,             0.94423,               0.723,            0.018946,            0.004113,           0.0024652,           0.0076735,           0.0076735,           0.0076735
                  49,            0.024393,           0.0067037,           0.0041473,             0.96182,             0.92657,             0.94814,             0.72921,            0.018835,           0.0040694,           0.0023573,            0.007624,            0.007624,            0.007624
                  50,            0.024158,           0.0067019,           0.0040837,             0.96659,             0.91492,             0.94464,             0.73359,            0.018502,           0.0040538,           0.0024289,           0.0075745,           0.0075745,           0.0075745
                  51,            0.024276,           0.0067463,           0.0040501,             0.96515,             0.91942,             0.94374,             0.73505,            0.018607,           0.0040565,           0.0022893,            0.007525,            0.007525,            0.007525
                  52,            0.023934,           0.0066811,           0.0040342,             0.96339,             0.92151,             0.94487,             0.73017,            0.018464,           0.0040438,           0.0023208,           0.0074755,           0.0074755,           0.0074755
                  53,            0.024155,           0.0067133,           0.0042631,             0.96733,             0.92251,             0.94546,             0.73336,            0.018462,           0.0040456,           0.0021445,            0.007426,            0.007426,            0.007426
                  54,            0.023583,           0.0065382,           0.0036441,             0.96641,              0.9175,             0.94335,             0.73802,            0.018412,           0.0040421,           0.0022568,           0.0073765,           0.0073765,           0.0073765
                  55,            0.023634,           0.0064836,           0.0039607,             0.96454,             0.93023,             0.94818,             0.74089,            0.018354,           0.0040205,           0.0020448,            0.007327,            0.007327,            0.007327
                  56,            0.023607,            0.006616,           0.0039976,             0.96156,             0.92022,             0.94996,             0.74561,             0.01801,           0.0039903,           0.0020502,           0.0072775,           0.0072775,           0.0072775
                  57,            0.023442,           0.0064897,           0.0040336,              0.9669,             0.93198,             0.95803,              0.7446,            0.017974,           0.0040173,           0.0017598,            0.007228,            0.007228,            0.007228
