               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.039096,           0.0061527,            0.039023,             0.68979,             0.16075,             0.18832,             0.12865,            0.033781,           0.0049608,            0.039752,           0.0082675,           0.0082675,           0.0082675
                  37,            0.039121,           0.0062719,            0.037514,             0.74153,             0.15519,             0.19782,             0.13495,            0.034134,           0.0048953,            0.038788,            0.008218,            0.008218,            0.008218
                  38,            0.038795,           0.0060832,            0.036587,             0.70861,             0.17245,             0.19479,             0.13277,            0.034033,           0.0048517,             0.03836,           0.0081685,           0.0081685,           0.0081685
                  39,            0.038265,           0.0061381,            0.037082,             0.73216,             0.16256,             0.18946,              0.1295,            0.034145,           0.0048991,            0.039158,            0.008119,            0.008119,            0.008119
                  40,            0.038082,           0.0061364,            0.036534,             0.68198,             0.17505,              0.1973,             0.13491,            0.033562,           0.0049403,            0.038483,           0.0080695,           0.0080695,           0.0080695
                  41,            0.038639,           0.0061845,            0.036435,             0.67481,             0.18152,             0.19619,             0.13403,            0.032973,           0.0048715,             0.03781,             0.00802,             0.00802,             0.00802
                  42,            0.039086,           0.0060531,            0.035292,             0.70779,             0.17522,             0.20414,             0.14071,            0.032875,           0.0047981,             0.03709,           0.0079705,           0.0079705,           0.0079705
                  43,            0.038417,           0.0060125,            0.035908,              0.7051,             0.17197,             0.20648,             0.14323,            0.033846,           0.0048325,            0.038242,            0.007921,            0.007921,            0.007921
                  44,            0.037984,           0.0059983,            0.036543,             0.69786,             0.17749,             0.20213,             0.13872,            0.032374,           0.0048374,            0.037163,           0.0078715,           0.0078715,           0.0078715
                  45,            0.038194,           0.0061639,            0.036986,             0.68418,             0.17791,             0.19619,             0.13458,             0.03284,           0.0048499,            0.038754,            0.007822,            0.007822,            0.007822
                  46,            0.038294,           0.0061209,            0.035981,             0.72239,             0.16064,             0.20408,             0.13946,             0.03281,           0.0048449,            0.038209,           0.0077725,           0.0077725,           0.0077725
                  47,            0.038677,           0.0062175,            0.036498,             0.66837,             0.18668,             0.20726,             0.14322,             0.03373,           0.0048252,            0.037401,            0.007723,            0.007723,            0.007723
                  48,             0.03808,           0.0061638,            0.035764,             0.69891,             0.18409,              0.2027,             0.14016,            0.032643,           0.0048112,            0.037035,           0.0076735,           0.0076735,           0.0076735
                  49,            0.037887,           0.0060314,            0.034572,             0.66294,             0.17983,             0.20407,             0.14161,             0.03199,           0.0048507,            0.036959,            0.007624,            0.007624,            0.007624
                  50,            0.038962,           0.0060486,            0.035855,             0.69287,             0.17858,             0.20429,             0.14114,            0.034357,           0.0047422,            0.036983,           0.0075745,           0.0075745,           0.0075745
                  51,            0.038516,           0.0061478,            0.036004,             0.70367,             0.17188,             0.20336,             0.14207,            0.031371,           0.0047691,            0.036869,            0.007525,            0.007525,            0.007525
                  52,            0.037216,           0.0060927,             0.03605,             0.65634,             0.19765,             0.21131,             0.14923,            0.031061,           0.0047141,            0.036795,           0.0074755,           0.0074755,           0.0074755
                  53,            0.038526,           0.0060853,             0.03555,             0.66317,             0.18426,              0.2046,             0.14252,              0.0316,           0.0047632,            0.037124,            0.007426,            0.007426,            0.007426
                  54,            0.038121,           0.0060223,            0.034964,             0.68041,             0.18335,             0.21113,             0.14747,            0.031068,           0.0047423,            0.036974,           0.0073765,           0.0073765,           0.0073765
                  55,            0.037858,           0.0061176,            0.034696,             0.66522,             0.18957,              0.2028,             0.14007,            0.031574,            0.004815,             0.03654,            0.007327,            0.007327,            0.007327
                  56,            0.037934,           0.0059577,            0.034206,             0.68966,             0.18153,             0.20607,             0.14254,            0.031257,           0.0047675,            0.036992,           0.0072775,           0.0072775,           0.0072775
                  57,            0.038378,           0.0060496,            0.035528,             0.69486,             0.17477,             0.20708,             0.14345,            0.030993,           0.0047566,            0.036097,            0.007228,            0.007228,            0.007228
                  58,            0.037493,           0.0061596,             0.03646,             0.66822,              0.1866,             0.20124,             0.13997,            0.031547,           0.0047769,            0.036411,           0.0071785,           0.0071785,           0.0071785
                  59,            0.038421,           0.0060078,            0.035241,             0.64167,              0.1911,             0.20397,             0.14212,            0.030827,           0.0047675,            0.036813,            0.007129,            0.007129,            0.007129
                  60,            0.038206,           0.0059742,            0.035906,              0.6721,             0.18689,             0.21322,             0.15137,            0.030543,           0.0047274,            0.036194,           0.0070795,           0.0070795,           0.0070795
                  61,            0.037242,           0.0060849,            0.034653,             0.65036,             0.19162,             0.20898,             0.14549,            0.030442,           0.0047345,             0.03535,             0.00703,             0.00703,             0.00703
                  62,            0.037597,           0.0059764,            0.032682,             0.65699,             0.19275,             0.20742,             0.14589,            0.030914,           0.0047353,            0.035238,           0.0069805,           0.0069805,           0.0069805
                  63,             0.03733,           0.0058656,             0.03349,             0.67619,             0.18802,             0.21383,             0.15115,            0.030573,           0.0047036,            0.035789,            0.006931,            0.006931,            0.006931
                  64,             0.03721,           0.0060669,            0.034189,             0.69126,             0.18491,             0.21468,             0.15115,            0.030437,           0.0046721,            0.035493,           0.0068815,           0.0068815,           0.0068815
